Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
"Egypt, Arab Rep.",EGY,2013,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,63
"Egypt, Arab Rep.",EGY,2012,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,66
"Egypt, Arab Rep.",EGY,2010,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,64
"Egypt, Arab Rep.",EGY,2006,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,58
"Egypt, Arab Rep.",EGY,2005,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,56
"Egypt, Arab Rep.",EGY,1996,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,44
"Egypt, Arab Rep.",EGY,1986,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,31
"Egypt, Arab Rep.",EGY,1976,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,22
"Egypt, Arab Rep.",EGY,2022,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,79.98999786
"Egypt, Arab Rep.",EGY,2017,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,76
"Egypt, Arab Rep.",EGY,2013,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,82
"Egypt, Arab Rep.",EGY,2012,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,82
"Egypt, Arab Rep.",EGY,2010,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,80
"Egypt, Arab Rep.",EGY,2006,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,75
"Egypt, Arab Rep.",EGY,2005,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,78
"Egypt, Arab Rep.",EGY,1996,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,67
"Egypt, Arab Rep.",EGY,1986,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,57
"Egypt, Arab Rep.",EGY,1976,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,54
"Egypt, Arab Rep.",EGY,2019,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.008090019
"Egypt, Arab Rep.",EGY,2018,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.003919959
"Egypt, Arab Rep.",EGY,2017,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.002679944
"Egypt, Arab Rep.",EGY,2016,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.000669956
"Egypt, Arab Rep.",EGY,2014,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.997129977
"Egypt, Arab Rep.",EGY,2013,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.991439998
"Egypt, Arab Rep.",EGY,2012,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.98676002
"Egypt, Arab Rep.",EGY,2011,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.954770029
"Egypt, Arab Rep.",EGY,2010,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.971019983
"Egypt, Arab Rep.",EGY,2009,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.967440009
"Egypt, Arab Rep.",EGY,2007,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.958100021
"Egypt, Arab Rep.",EGY,2006,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.950450003
"Egypt, Arab Rep.",EGY,2005,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.947350025
"Egypt, Arab Rep.",EGY,2004,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.967779994
"Egypt, Arab Rep.",EGY,2003,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.957329988
"Egypt, Arab Rep.",EGY,2002,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.948310018
"Egypt, Arab Rep.",EGY,2001,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.940599978
"Egypt, Arab Rep.",EGY,2000,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.931089997
"Egypt, Arab Rep.",EGY,1999,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.92325002
"Egypt, Arab Rep.",EGY,1997,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.878430009
"Egypt, Arab Rep.",EGY,1996,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.762960017
"Egypt, Arab Rep.",EGY,1995,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.88815999
"Egypt, Arab Rep.",EGY,1994,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.854709983
"Egypt, Arab Rep.",EGY,1993,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.86868
"Egypt, Arab Rep.",EGY,1992,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.861779988
"Egypt, Arab Rep.",EGY,1991,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.841220021
"Egypt, Arab Rep.",EGY,1990,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.850049973
"Egypt, Arab Rep.",EGY,1989,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.835529983
"Egypt, Arab Rep.",EGY,1988,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.789120018
"Egypt, Arab Rep.",EGY,1987,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.819029987
"Egypt, Arab Rep.",EGY,1986,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.806129992
"Egypt, Arab Rep.",EGY,1985,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.788460016
